Symptom,Body_System
fever,General
malaise,General
fatigue,General
weight loss,General
chills,General
night sweats,General
weakness,General
dehydration,General
poor appetite,General
increased thirst,General
cough,Respiratory
shortness of breath,Respiratory
wheezing,Respiratory
sputum production,Respiratory
hemoptysis,Respiratory
sore throat,Respiratory
stridor,Respiratory
nasal congestion,Respiratory
runny nose,Respiratory
postnasal drip,Respiratory
chest pain,Cardiovascular
palpitations,Cardiovascular
edema,Cardiovascular
lightheadedness,Cardiovascular
clubbing,Cardiovascular
intermittent claudication,Cardiovascular
syncope,Cardiovascular
orthopnea,Cardiovascular
paroxysmal nocturnal dyspnea,Cardiovascular
abdominal pain,Gastrointestinal
nausea,Gastrointestinal
vomiting,Gastrointestinal
diarrhea,Gastrointestinal
constipation,Gastrointestinal
heartburn,Gastrointestinal
dysphagia,Gastrointestinal
melena,Gastrointestinal
hematemesis,Gastrointestinal
bloating,Gastrointestinal
headache,Neurological
dizziness,Neurological
seizure,Neurological
paresthesia,Neurological
numbness,Neurological
tremor,Neurological
ataxia,Neurological
memory loss,Neurological
confusion,Neurological
rash,Dermatologic
pruritus,Dermatologic
skin discoloration,Dermatologic
ulcer,Dermatologic
blister,Dermatologic
dry skin,Dermatologic
hives,Dermatologic
petechiae,Dermatologic
ecchymosis,Dermatologic
lesion,Dermatologic
joint pain,Musculoskeletal
muscle pain,Musculoskeletal
stiffness,Musculoskeletal
swelling of joint,Musculoskeletal
limited range of motion,Musculoskeletal
back pain,Musculoskeletal
neck pain,Musculoskeletal
myalgia,Musculoskeletal
crepitus,Musculoskeletal
muscle weakness,Musculoskeletal
dysuria,Genitourinary
hematuria,Genitourinary
urinary frequency,Genitourinary
urinary urgency,Genitourinary
incontinence,Genitourinary
pelvic pain,Genitourinary
vaginal bleeding,Genitourinary
testicular pain,Genitourinary
scrotal swelling,Genitourinary
male sexual dysfunction,Genitourinary
polyuria,Endocrine/Metabolic
polydipsia,Endocrine/Metabolic
heat intolerance,Endocrine/Metabolic
cold intolerance,Endocrine/Metabolic
weight gain,Endocrine/Metabolic
excessive sweating,Endocrine/Metabolic
hair loss,Endocrine/Metabolic
hirsutism,Endocrine/Metabolic
