Diagnosis,Symptoms,MEDICATION,Specialty
A0102   Typhoid fever with heart involvement,A0102   Typhoid fever with heart involvement,"Azithromycin, Ceftriaxone, Chloramphenicol, Co-trimoxazole",Cardiology
A1884   Tuberculosis of heart,,,Cardiology
A381    Scarlet fever with myocarditis,,,Cardiology
A3952   Meningococcal myocarditis,,,Cardiology
A3953   Meningococcal pericarditis,,,Cardiology
A5206   Other syphilitic heart involvement,,,Cardiology
A5483   Gonococcal heart infection,,,Cardiology
B2682   Mumps myocarditis,,,Cardiology
B3322   Viral myocarditis,,,Cardiology
B3323   Viral pericarditis,,,Cardiology
B570    Acute Chagas' disease with heart involvement,,,Cardiology
B571    Acute Chagas' disease without heart involvement,,,Cardiology
B572    Chagas' disease (chronic) with heart involvement,,,Cardiology
B5881   Toxoplasma myocarditis,,,Cardiology
C380    Malignant neoplasm of heart,,,Cardiology
"C388    Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",,,Cardiology
D151    Benign neoplasm of heart,,,Cardiology
D8685   Sarcoid myocarditis,,,Cardiology
G932    Benign intracranial hypertension,,,Cardiology
"H40051  Ocular hypertension, right eye",,,Cardiology
"H40052  Ocular hypertension, left eye",,,Cardiology
"H40053  Ocular hypertension, bilateral",,,Cardiology
"H40059  Ocular hypertension, unspecified eye",,,Cardiology
I00     Rheumatic fever without heart involvement,,,Cardiology
I010    Acute rheumatic pericarditis,,,Cardiology
I012    Acute rheumatic myocarditis,,,Cardiology
I018    Other acute rheumatic heart disease,,,Cardiology
"I019    Acute rheumatic heart disease, unspecified",,,Cardiology
I020    Rheumatic chorea with heart involvement,,,Cardiology
I029    Rheumatic chorea without heart involvement,,,Cardiology
I090    Rheumatic myocarditis,,,Cardiology
I092    Chronic rheumatic pericarditis,,,Cardiology
I0981   Rheumatic heart failure,,,Cardiology
I0989   Other specified rheumatic heart diseases,,,Cardiology
"I099    Rheumatic heart disease, unspecified",,,Cardiology
I10     Essential (primary) hypertension,,,Cardiology
I110    Hypertensive heart disease with heart failure,,,Cardiology
I119    Hypertensive heart disease without heart failure,,,Cardiology
"I130    Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4
chronic kidney disease, or unspecified chronic kidney disease",,,Cardiology
"I1310   Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage
4 chronic kidney disease, or unspecified chronic kidney disease",,,Cardiology
"I1311   Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney
disease, or end stage renal disease",,,Cardiology
"I132    Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney
disease, or end stage renal disease",,,Cardiology
I150    Renovascular hypertension,,,Cardiology
I151    Hypertension secondary to other renal disorders,,,Cardiology
I152    Hypertension secondary to endocrine disorders,,,Cardiology
I158    Other secondary hypertension,,,Cardiology
"I159    Secondary hypertension, unspecified",,,Cardiology
I200    Unstable angina,,,Cardiology
