Diagnosis,Symptoms,MEDICATION,Specialty
A184    Tuberculosis of skin and subcutaneous tissue,,,Dermatology
A5132   Syphilitic alopecia,,,Dermatology
A5139   Other secondary syphilis of skin,,,Dermatology
A601    Herpesviral infection of perianal skin and rectum,,,Dermatology
A662    Other early skin lesions of yaws,,,Dermatology
B000    Eczema herpeticum,,,Dermatology
B001    Herpesviral vesicular dermatitis,,,Dermatology
B088    Other specified viral infections characterized by skin and mucous membrane lesions,,,Dermatology
B09     Unspecified viral infection characterized by skin and mucous membrane lesions,,,Dermatology
B372    Candidiasis of skin and nail,,,Dermatology
B653    Cercarial dermatitis,,,Dermatology
C4351   Malignant melanoma of anal skin,,,Dermatology
C438    Malignant melanoma of overlapping sites of skin,,,Dermatology
"C439    Malignant melanoma of skin, unspecified",,,Dermatology
C4A51   Merkel cell carcinoma of anal skin,,,Dermatology
C4400   Unspecified malignant neoplasm of skin of lip,,,Dermatology
C4401   Basal cell carcinoma of skin of lip,,,Dermatology
C4402   Squamous cell carcinoma of skin of lip,,,Dermatology
C4409   Other specified malignant neoplasm of skin of lip,,,Dermatology
"C44101  Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",,,Dermatology
"C44102  Unspecified malignant neoplasm of skin of right eyelid, including canthus",,,Dermatology
"C44109  Unspecified malignant neoplasm of skin of left eyelid, including canthus",,,Dermatology
"C44111  Basal cell carcinoma of skin of unspecified eyelid, including canthus",,,Dermatology
"C44112  Basal cell carcinoma of skin of right eyelid, including canthus",,,Dermatology
"C44119  Basal cell carcinoma of skin of left eyelid, including canthus",,,Dermatology
"C44121  Squamous cell carcinoma of skin of unspecified eyelid, including canthus",,,Dermatology
"C44122  Squamous cell carcinoma of skin of right eyelid, including canthus",,,Dermatology
"C44129  Squamous cell carcinoma of skin of left eyelid, including canthus",,,Dermatology
"C44191  Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",,,Dermatology
"C44192  Other specified malignant neoplasm of skin of right eyelid, including canthus",,,Dermatology
"C44199  Other specified malignant neoplasm of skin of left eyelid, including canthus",,,Dermatology
C44300  Unspecified malignant neoplasm of skin of unspecified part of face,,,Dermatology
C44309  Unspecified malignant neoplasm of skin of other parts of face,,,Dermatology
C44310  Basal cell carcinoma of skin of unspecified parts of face,,,Dermatology
C44319  Basal cell carcinoma of skin of other parts of face,,,Dermatology
C44320  Squamous cell carcinoma of skin of unspecified parts of face,,,Dermatology
C44329  Squamous cell carcinoma of skin of other parts of face,,,Dermatology
C44390  Other specified malignant neoplasm of skin of unspecified parts of face,,,Dermatology
C44399  Other specified malignant neoplasm of skin of other parts of face,,,Dermatology
C4440   Unspecified malignant neoplasm of skin of scalp and neck,,,Dermatology
C4441   Basal cell carcinoma of skin of scalp and neck,,,Dermatology
C4442   Squamous cell carcinoma of skin of scalp and neck,,,Dermatology
C4449   Other specified malignant neoplasm of skin of scalp and neck,,,Dermatology
C44500  Unspecified malignant neoplasm of anal skin,,,Dermatology
C44509  Unspecified malignant neoplasm of skin of other part of trunk,,,Dermatology
C44510  Basal cell carcinoma of anal skin,,,Dermatology
C44519  Basal cell carcinoma of skin of other part of trunk,,,Dermatology
C44520  Squamous cell carcinoma of anal skin,,,Dermatology
C44529  Squamous cell carcinoma of skin of other part of trunk,,,Dermatology
C44590  Other specified malignant neoplasm of anal skin,,,Dermatology
C44599  Other specified malignant neoplasm of skin of other part of trunk,,,Dermatology
"C44601  Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",,,Dermatology
"C44602  Unspecified malignant neoplasm of skin of right upper limb, including shoulder",,,Dermatology
"C44609  Unspecified malignant neoplasm of skin of left upper limb, including shoulder",,,Dermatology
"C44611  Basal cell carcinoma of skin of unspecified upper limb, including shoulder",,,Dermatology
"C44612  Basal cell carcinoma of skin of right upper limb, including shoulder",,,Dermatology
"C44619  Basal cell carcinoma of skin of left upper limb, including shoulder",,,Dermatology
"C44621  Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",,,Dermatology
"C44622  Squamous cell carcinoma of skin of right upper limb, including shoulder",,,Dermatology
"C44629  Squamous cell carcinoma of skin of left upper limb, including shoulder",,,Dermatology
"C44691  Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",,,Dermatology
"C44692  Other specified malignant neoplasm of skin of right upper limb, including shoulder",,,Dermatology
"C44699  Other specified malignant neoplasm of skin of left upper limb, including shoulder",,,Dermatology
"C44701  Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",,,Dermatology
"C44702  Unspecified malignant neoplasm of skin of right lower limb, including hip",,,Dermatology
"C44709  Unspecified malignant neoplasm of skin of left lower limb, including hip",,,Dermatology
"C44711  Basal cell carcinoma of skin of unspecified lower limb, including hip",,,Dermatology
"C44712  Basal cell carcinoma of skin of right lower limb, including hip",,,Dermatology
"C44719  Basal cell carcinoma of skin of left lower limb, including hip",,,Dermatology
"C44721  Squamous cell carcinoma of skin of unspecified lower limb, including hip",,,Dermatology
"C44722  Squamous cell carcinoma of skin of right lower limb, including hip",,,Dermatology
"C44729  Squamous cell carcinoma of skin of left lower limb, including hip",,,Dermatology
"C44791  Other specified malignant neoplasm of skin of unspecified lower limb, including hip",,,Dermatology
"C44792  Other specified malignant neoplasm of skin of right lower limb, including hip",,,Dermatology
"C44799  Other specified malignant neoplasm of skin of left lower limb, including hip",,,Dermatology
