Diagnosis,Symptoms,MEDICATION,Specialty
A186    Tuberculosis of (inner) (middle) ear,,,ENT
A380    Scarlet fever with otitis media,,,ENT
A5003   Early congenital syphilitic pharyngitis,,,ENT
A5005   Early congenital syphilitic rhinitis,,,ENT
A5057   Syphilitic saddle nose,,,ENT
A545    Gonococcal pharyngitis,,,ENT
A881    Epidemic vertigo,,,ENT
B053    Measles complicated by otitis media,,,ENT
B085    Enteroviral vesicular pharyngitis,,,ENT
B3784   Candidal otitis externa,,,ENT
C301    Malignant neoplasm of middle ear,,,ENT
C4320   Malignant melanoma of unspecified ear and external auricular canal,,,ENT
C4321   Malignant melanoma of right ear and external auricular canal,,,ENT
C4322   Malignant melanoma of left ear and external auricular canal,,,ENT
C4331   Malignant melanoma of nose,,,ENT
C4A20   Merkel cell carcinoma of unspecified ear and external auricular canal,,,ENT
C4A21   Merkel cell carcinoma of right ear and external auricular canal,,,ENT
C4A22   Merkel cell carcinoma of left ear and external auricular canal,,,ENT
C4A31   Merkel cell carcinoma of nose,,,ENT
C44201  Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,,,ENT
C44202  Unspecified malignant neoplasm of skin of right ear and external auricular canal,,,ENT
C44209  Unspecified malignant neoplasm of skin of left ear and external auricular canal,,,ENT
C44211  Basal cell carcinoma of skin of unspecified ear and external auricular canal,,,ENT
C44212  Basal cell carcinoma of skin of right ear and external auricular canal,,,ENT
C44219  Basal cell carcinoma of skin of left ear and external auricular canal,,,ENT
C44221  Squamous cell carcinoma of skin of unspecified ear and external auricular canal,,,ENT
C44222  Squamous cell carcinoma of skin of right ear and external auricular canal,,,ENT
C44229  Squamous cell carcinoma of skin of left ear and external auricular canal,,,ENT
C44291  Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,,,ENT
C44292  Other specified malignant neoplasm of skin of right ear and external auricular canal,,,ENT
C44299  Other specified malignant neoplasm of skin of left ear and external auricular canal,,,ENT
C44301  Unspecified malignant neoplasm of skin of nose,,,ENT
C44311  Basal cell carcinoma of skin of nose,,,ENT
C44321  Squamous cell carcinoma of skin of nose,,,ENT
C44391  Other specified malignant neoplasm of skin of nose,,,ENT
D0320   Melanoma in situ of unspecified ear and external auricular canal,,,ENT
D0321   Melanoma in situ of right ear and external auricular canal,,,ENT
D0322   Melanoma in situ of left ear and external auricular canal,,,ENT
D0420   Carcinoma in situ of skin of unspecified ear and external auricular canal,,,ENT
D0421   Carcinoma in situ of skin of right ear and external auricular canal,,,ENT
D0422   Carcinoma in situ of skin of left ear and external auricular canal,,,ENT
"D140    Benign neoplasm of middle ear, nasal cavity and accessory sinuses",,,ENT
D2220   Melanocytic nevi of unspecified ear and external auricular canal,,,ENT
D2221   Melanocytic nevi of right ear and external auricular canal,,,ENT
D2222   Melanocytic nevi of left ear and external auricular canal,,,ENT
D2320   Other benign neoplasm of skin of unspecified ear and external auricular canal,,,ENT
D2321   Other benign neoplasm of skin of right ear and external auricular canal,,,ENT
D2322   Other benign neoplasm of skin of left ear and external auricular canal,,,ENT
"H6000   Abscess of external ear, unspecified ear",,,ENT
H6001   Abscess of right external ear,,,ENT
H6002   Abscess of left external ear,,,ENT
"H6003   Abscess of external ear, bilateral",,,ENT
"H6010   Cellulitis of external ear, unspecified ear",,,ENT
H6011   Cellulitis of right external ear,,,ENT
H6012   Cellulitis of left external ear,,,ENT
"H6013   Cellulitis of external ear, bilateral",,,ENT
