Diagnosis,Symptoms,MEDICATION,Specialty
A0102   Typhoid fever with heart involvement,A0102   Typhoid fever with heart involvement,"Azithromycin, Ceftriaxone, Chloramphenicol, Co-trimoxazole",Cardiology
A0104   Typhoid arthritis,A0104   Typhoid arthritis,"Azithromycin, Ceftriaxone, Chloramphenicol, Co-trimoxazole",Orthopedics
A0223   Salmonella arthritis,A0223   Salmonella arthritis,A0223   Salmonella arthritis,Orthopedics
A063    Ameboma of intestine,A063    Ameboma of intestine,A063    Ameboma of intestine,Gastroenterology
A064    Amebic liver abscess,A064    Amebic liver abscess,A064    Amebic liver abscess,Gastroenterology
A066    Amebic brain abscess,A066    Amebic brain abscess,A066    Amebic brain abscess,Neurology
A1781   Tuberculoma of brain and spinal cord,,,Neurology
A1801   Tuberculosis of spine,,,Orthopedics
A1802   Tuberculous arthritis of other joints,,,Orthopedics
A1809   Other musculoskeletal tuberculosis,,,Orthopedics
A1816   Tuberculosis of cervix,,,Gynecology
A1817   Tuberculous female pelvic inflammatory disease,,,Gynecology
A184    Tuberculosis of skin and subcutaneous tissue,,,Dermatology
A186    Tuberculosis of (inner) (middle) ear,,,ENT
A1884   Tuberculosis of heart,,,Cardiology
A380    Scarlet fever with otitis media,,,ENT
A381    Scarlet fever with myocarditis,,,Cardiology
A3952   Meningococcal myocarditis,,,Cardiology
A3953   Meningococcal pericarditis,,,Cardiology
A3983   Meningococcal arthritis,,,Orthopedics
A3984   Postmeningococcal arthritis,,,Orthopedics
A5003   Early congenital syphilitic pharyngitis,,,ENT
A5005   Early congenital syphilitic rhinitis,,,ENT
A5044   Late congenital syphilitic optic nerve atrophy,,,Neurology
A5057   Syphilitic saddle nose,,,ENT
A5132   Syphilitic alopecia,,,Dermatology
A5139   Other secondary syphilis of skin,,,Dermatology
A5142   Secondary syphilitic female pelvic disease,,,Gynecology
A5145   Secondary syphilitic hepatitis,,,Gastroenterology
A5206   Other syphilitic heart involvement,,,Cardiology
A5215   Late syphilitic neuropathy,,,Neurology
A5274   Syphilis of liver and other viscera,,,Gastroenterology
A5277   Syphilis of bone and joint,,,Orthopedics
A5278   Syphilis of other musculoskeletal tissue,,,Orthopedics
A5424   Gonococcal female pelvic inflammatory disease,,,Gynecology
"A5440   Gonococcal infection of musculoskeletal system, unspecified",,,Orthopedics
A5442   Gonococcal arthritis,,,Orthopedics
A5449   Gonococcal infection of other musculoskeletal tissue,,,Orthopedics
A545    Gonococcal pharyngitis,,,ENT
A5482   Gonococcal brain abscess,,,Neurology
A5483   Gonococcal heart infection,,,Cardiology
A5611   Chlamydial female pelvic inflammatory disease,,,Gynecology
A601    Herpesviral infection of perianal skin and rectum,,,Dermatology
A662    Other early skin lesions of yaws,,,Dermatology
A666    Bone and joint lesions of yaws,,,Orthopedics
A6923   Arthritis due to Lyme disease,,,Orthopedics
A881    Epidemic vertigo,,,ENT
B000    Eczema herpeticum,,,Dermatology
B001    Herpesviral vesicular dermatitis,,,Dermatology
B0081   Herpesviral hepatitis,,,Gastroenterology
B053    Measles complicated by otitis media,,,ENT
B0682   Rubella arthritis,,,Orthopedics
B085    Enteroviral vesicular pharyngitis,,,ENT
B088    Other specified viral infections characterized by skin and mucous membrane lesions,,,Dermatology
B09     Unspecified viral infection characterized by skin and mucous membrane lesions,,,Dermatology
B150    Hepatitis A with hepatic coma,,,Gastroenterology
B159    Hepatitis A without hepatic coma,,,Gastroenterology
B160    Acute hepatitis B with delta-agent with hepatic coma,,,Gastroenterology
B161    Acute hepatitis B with delta-agent without hepatic coma,,,Gastroenterology
B162    Acute hepatitis B without delta-agent with hepatic coma,,,Gastroenterology
B169    Acute hepatitis B without delta-agent and without hepatic coma,,,Gastroenterology
B170    Acute delta-(super) infection of hepatitis B carrier,,,Gastroenterology
B1710   Acute hepatitis C without hepatic coma,,,Gastroenterology
B1711   Acute hepatitis C with hepatic coma,,,Gastroenterology
B172    Acute hepatitis E,,,Gastroenterology
B178    Other specified acute viral hepatitis,,,Gastroenterology
"B179    Acute viral hepatitis, unspecified",,,Gastroenterology
B180    Chronic viral hepatitis B with delta-agent,,,Gastroenterology
B181    Chronic viral hepatitis B without delta-agent,,,Gastroenterology
B182    Chronic viral hepatitis C,,,Gastroenterology
B188    Other chronic viral hepatitis,,,Gastroenterology
"B189    Chronic viral hepatitis, unspecified",,,Gastroenterology
B190    Unspecified viral hepatitis with hepatic coma,,,Gastroenterology
B1910   Unspecified viral hepatitis B without hepatic coma,,,Gastroenterology
B1911   Unspecified viral hepatitis B with hepatic coma,,,Gastroenterology
B1920   Unspecified viral hepatitis C without hepatic coma,,,Gastroenterology
B1921   Unspecified viral hepatitis C with hepatic coma,,,Gastroenterology
B199    Unspecified viral hepatitis without hepatic coma,,,Gastroenterology
B251    Cytomegaloviral hepatitis,,,Gastroenterology
B2681   Mumps hepatitis,,,Gastroenterology
B2682   Mumps myocarditis,,,Cardiology
B2685   Mumps arthritis,,,Orthopedics
B3322   Viral myocarditis,,,Cardiology
B3323   Viral pericarditis,,,Cardiology
B372    Candidiasis of skin and nail,,,Dermatology
B3784   Candidal otitis externa,,,ENT
B4282   Sporotrichosis arthritis,,,Orthopedics
B431    Pheomycotic brain abscess,,,Neurology
B570    Acute Chagas' disease with heart involvement,,,Cardiology
B571    Acute Chagas' disease without heart involvement,,,Cardiology
B572    Chagas' disease (chronic) with heart involvement,,,Cardiology
B581    Toxoplasma hepatitis,,,Gastroenterology
B5881   Toxoplasma myocarditis,,,Cardiology
B653    Cercarial dermatitis,,,Dermatology
B670    Echinococcus granulosus infection of liver,,,Gastroenterology
B672    Echinococcus granulosus infection of bone,,,Orthopedics
B675    Echinococcus multilocularis infection of liver,,,Gastroenterology
"B678    Echinococcosis, unspecified, of liver",,,Gastroenterology
B942    Sequelae of viral hepatitis,,,Gastroenterology
C161    Malignant neoplasm of fundus of stomach,,,Gastroenterology
C162    Malignant neoplasm of body of stomach,,,Gastroenterology
"C165    Malignant neoplasm of lesser curvature of stomach, unspecified",,,Gastroenterology
"C166    Malignant neoplasm of greater curvature of stomach, unspecified",,,Gastroenterology
C168    Malignant neoplasm of overlapping sites of stomach,,,Gastroenterology
"C169    Malignant neoplasm of stomach, unspecified",,,Gastroenterology
C178    Malignant neoplasm of overlapping sites of small intestine,,,Gastroenterology
"C179    Malignant neoplasm of small intestine, unspecified",,,Gastroenterology
C182    Malignant neoplasm of ascending colon,,,Gastroenterology
C184    Malignant neoplasm of transverse colon,,,Gastroenterology
C186    Malignant neoplasm of descending colon,,,Gastroenterology
C187    Malignant neoplasm of sigmoid colon,,,Gastroenterology
C188    Malignant neoplasm of overlapping sites of colon,,,Gastroenterology
"C189    Malignant neoplasm of colon, unspecified",,,Gastroenterology
C220    Liver cell carcinoma,,,Gastroenterology
C223    Angiosarcoma of liver,,,Gastroenterology
C224    Other sarcomas of liver,,,Gastroenterology
C227    Other specified carcinomas of liver,,,Gastroenterology
"C228    Malignant neoplasm of liver, primary, unspecified as to type",,,Gastroenterology
"C229    Malignant neoplasm of liver, not specified as primary or secondary",,,Gastroenterology
C23     Malignant neoplasm of gallbladder,,,Gastroenterology
C250    Malignant neoplasm of head of pancreas,,,Gastroenterology
C251    Malignant neoplasm of body of pancreas,,,Gastroenterology
C252    Malignant neoplasm of tail of pancreas,,,Gastroenterology
C254    Malignant neoplasm of endocrine pancreas,,,Gastroenterology
C257    Malignant neoplasm of other parts of pancreas,,,Gastroenterology
C258    Malignant neoplasm of overlapping sites of pancreas,,,Gastroenterology
"C259    Malignant neoplasm of pancreas, unspecified",,,Gastroenterology
C301    Malignant neoplasm of middle ear,,,ENT
C380    Malignant neoplasm of heart,,,Cardiology
"C388    Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",,,Cardiology
C4080   Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,,,Orthopedics
C4081   Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,,,Orthopedics
