Diagnosis,Symptoms,MEDICATION,Specialty
A1816   Tuberculosis of cervix,,,Gynecology
A1817   Tuberculous female pelvic inflammatory disease,,,Gynecology
A5142   Secondary syphilitic female pelvic disease,,,Gynecology
A5424   Gonococcal female pelvic inflammatory disease,,,Gynecology
A5611   Chlamydial female pelvic inflammatory disease,,,Gynecology
"C414    Malignant neoplasm of pelvic bones, sacrum and coccyx",,,Gynecology
C4352   Malignant melanoma of skin of breast,,,Gynecology
C4A52   Merkel cell carcinoma of skin of breast,,,Gynecology
C44501  Unspecified malignant neoplasm of skin of breast,,,Gynecology
C44511  Basal cell carcinoma of skin of breast,,,Gynecology
C44521  Squamous cell carcinoma of skin of breast,,,Gynecology
C44591  Other specified malignant neoplasm of skin of breast,,,Gynecology
"C50011  Malignant neoplasm of nipple and areola, right female breast",,,Gynecology
"C50012  Malignant neoplasm of nipple and areola, left female breast",,,Gynecology
"C50019  Malignant neoplasm of nipple and areola, unspecified female breast",,,Gynecology
"C50021  Malignant neoplasm of nipple and areola, right male breast",,,Gynecology
"C50022  Malignant neoplasm of nipple and areola, left male breast",,,Gynecology
"C50029  Malignant neoplasm of nipple and areola, unspecified male breast",,,Gynecology
C50111  Malignant neoplasm of central portion of right female breast,,,Gynecology
C50112  Malignant neoplasm of central portion of left female breast,,,Gynecology
C50119  Malignant neoplasm of central portion of unspecified female breast,,,Gynecology
C50121  Malignant neoplasm of central portion of right male breast,,,Gynecology
C50122  Malignant neoplasm of central portion of left male breast,,,Gynecology
C50129  Malignant neoplasm of central portion of unspecified male breast,,,Gynecology
C50211  Malignant neoplasm of upper-inner quadrant of right female breast,,,Gynecology
C50212  Malignant neoplasm of upper-inner quadrant of left female breast,,,Gynecology
C50219  Malignant neoplasm of upper-inner quadrant of unspecified female breast,,,Gynecology
C50221  Malignant neoplasm of upper-inner quadrant of right male breast,,,Gynecology
C50222  Malignant neoplasm of upper-inner quadrant of left male breast,,,Gynecology
C50229  Malignant neoplasm of upper-inner quadrant of unspecified male breast,,,Gynecology
C50311  Malignant neoplasm of lower-inner quadrant of right female breast,,,Gynecology
C50312  Malignant neoplasm of lower-inner quadrant of left female breast,,,Gynecology
C50319  Malignant neoplasm of lower-inner quadrant of unspecified female breast,,,Gynecology
C50321  Malignant neoplasm of lower-inner quadrant of right male breast,,,Gynecology
C50322  Malignant neoplasm of lower-inner quadrant of left male breast,,,Gynecology
C50329  Malignant neoplasm of lower-inner quadrant of unspecified male breast,,,Gynecology
C50411  Malignant neoplasm of upper-outer quadrant of right female breast,,,Gynecology
C50412  Malignant neoplasm of upper-outer quadrant of left female breast,,,Gynecology
