Diagnosis,Symptoms,MEDICATION,Specialty
A066    Amebic brain abscess,A066    Amebic brain abscess,A066    Amebic brain abscess,Neurology
A1781   Tuberculoma of brain and spinal cord,,,Neurology
A5044   Late congenital syphilitic optic nerve atrophy,,,Neurology
A5215   Late syphilitic neuropathy,,,Neurology
A5482   Gonococcal brain abscess,,,Neurology
B431    Pheomycotic brain abscess,,,Neurology
C717    Malignant neoplasm of brain stem,,,Neurology
C718    Malignant neoplasm of overlapping sites of brain,,,Neurology
"C719    Malignant neoplasm of brain, unspecified",,,Neurology
C7220   Malignant neoplasm of unspecified olfactory nerve,,,Neurology
C7221   Malignant neoplasm of right olfactory nerve,,,Neurology
C7222   Malignant neoplasm of left olfactory nerve,,,Neurology
C7230   Malignant neoplasm of unspecified optic nerve,,,Neurology
C7231   Malignant neoplasm of right optic nerve,,,Neurology
C7232   Malignant neoplasm of left optic nerve,,,Neurology
C7240   Malignant neoplasm of unspecified acoustic nerve,,,Neurology
C7241   Malignant neoplasm of right acoustic nerve,,,Neurology
C7242   Malignant neoplasm of left acoustic nerve,,,Neurology
C7250   Malignant neoplasm of unspecified cranial nerve,,,Neurology
C7931   Secondary malignant neoplasm of brain,,,Neurology
"D330    Benign neoplasm of brain, supratentorial",,,Neurology
"D331    Benign neoplasm of brain, infratentorial",,,Neurology
"D332    Benign neoplasm of brain, unspecified",,,Neurology
"D430    Neoplasm of uncertain behavior of brain, supratentorial",,,Neurology
"D431    Neoplasm of uncertain behavior of brain, infratentorial",,,Neurology
"D432    Neoplasm of uncertain behavior of brain, unspecified",,,Neurology
D496    Neoplasm of unspecified behavior of brain,,,Neurology
D8682   Multiple cranial nerve palsies in sarcoidosis,,,Neurology
"E0840   Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",,,Neurology
E0843   Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,,,Neurology
"E0940   Drug or chemical induced diabetes mellitus with neurological complications with diabetic
neuropathy, unspecified",,,Neurology
"E0943   Drug or chemical induced diabetes mellitus with neurological complications with diabetic
autonomic (poly)neuropathy",,,Neurology
"E1040   Type 1 diabetes mellitus with diabetic neuropathy, unspecified",,,Neurology
E1043   Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,,,Neurology
"E1140   Type 2 diabetes mellitus with diabetic neuropathy, unspecified",,,Neurology
E1143   Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,,,Neurology
